Stock,Index,Beta,Corr
SGEN,IBB,1.2435994248101443,0.9124001948575009
REGN,IBB,0.8941578127784818,0.9482391644509313
ALXN,IBB,0.8894156928116349,0.8857520250395943
PTLA,SPY,1.7751027239708572,0.9760356913789199
EXAS,SPY,1.5931460397584387,0.9161669067825028
XON,SPY,1.586820096823868,0.9513886779043838
ALGN,SPY,1.552393775235135,0.9620256178121662
MDCO,SPY,1.5379916726214595,0.9746596477472758
HALO,SPY,1.525909567523425,0.9688569825240461
VRTX,SPY,1.445233758082484,0.9706380843383794
EXEL,SPY,1.4051256467342665,0.9505587948947471
CORT,SPY,1.3333952779049538,0.8711757479051336
INCY,SPY,1.3288449076529083,0.9387575240181053
ILMN,SPY,1.3140435868659917,0.9629210315366694
IMMU,SPY,1.2878503503049372,0.8791820524963345
IDXX,SPY,1.2845784573517471,0.9781065392998748
ATHN,SPY,1.2511381478244323,0.9527445839143217
CELG,SPY,1.2095890297431537,0.9783546368378241
PRAH,SPY,1.1978449801420101,0.9751906749760998
ISRG,SPY,1.1545255306440154,0.9790502295110595
CMD,SPY,1.1325468299037578,0.947386316451292
BIIB,SPY,1.1298860012615313,0.9525640709305682
MYGN,SPY,1.12113314084167,0.9433305434654334
SYNH,SPY,1.1207113534680313,0.9460320040443257
CRSP,SPY,1.0724796825843794,0.714809329444461
TDOC,SPY,1.0605121235859085,0.8045899756572737
ABT,SPY,1.051908229963168,0.9837282962521724
GILD,SPY,1.0491189201972213,0.9802255846994296
THC,SPY,1.047932334382219,0.8788257169984023
BSX,SPY,1.0369166559236862,0.9751471509126259
SYK,SPY,1.02108224590638,0.9824853816115138
PEN,SPY,1.0192776170715352,0.8893761284787769
HZNP,SPY,1.010617410151952,0.9864577267821295
ABMD,SPY,0.9809202112148445,0.9402263291872048
RMD,SPY,0.9713872944209624,0.9859805760814466
UTHR,SPY,0.968012281658407,0.9326236967933589
ZTS,SPY,0.9657998723723918,0.9618703595100978
AGN,SPY,0.9514212742458037,0.945236484660446
MYL,SPY,0.9398785189051949,0.9420163940324655
ANAB,SPY,0.9314474173370935,0.8559452583124406
CERN,SPY,0.9308874421199649,0.9481308455970928
ICUI,SPY,0.9265889880792008,0.9749091052279584
MASI,SPY,0.9182680594383992,0.9294429148750878
JAZZ,SPY,0.912781356104459,0.9470941227062368
ACHC,SPY,0.9095781754745325,0.8716994439477121
BAX,SPY,0.9089073866498758,0.9738553764849557
BIO,SPY,0.9088201032788799,0.9612723119598359
COO,SPY,0.9003613831969435,0.9456530137535605
TFX,SPY,0.8983046275128042,0.9679836782811289
VAR,SPY,0.8971251300871027,0.9805958912267769
TEVA,SPY,0.8950007439529883,0.9155767713557535
BGNE,SPY,0.8946306314063411,0.83732735314274
CAH,SPY,0.8851292268558313,0.9493854270741083
TECH,SPY,0.8849911503049808,0.9794344872572995
GRFS,SPY,0.8849619837747931,0.9463307365343618
EW,SPY,0.8745755149182776,0.9405311202292838
ANTM,SPY,0.8606044867676813,0.9657277653126184
HYH,SPY,0.8455967434593465,0.9383114817530248
JNJ,SPY,0.8454745312805574,0.9648951404669391
CHE,SPY,0.8451942999809801,0.9530828677266501
BDX,SPY,0.8437591017133953,0.9546591555834247
HAE,SPY,0.8410310685651916,0.9141119342078403
MDT,SPY,0.832566129754105,0.9648181848309055
PDCO,SPY,0.8298097054828701,0.9667252116978409
LH,SPY,0.8283844536268797,0.9734572926171219
WST,SPY,0.8243481421716846,0.9042624025767939
IART,SPY,0.8167077596876618,0.9404057421760712
MDRX,SPY,0.8147685349728736,0.8354513114277418
DGX,SPY,0.8115431700946029,0.9437982242399818
AMN,SPY,0.8107078552928252,0.8371314386775225
SEM,SPY,0.7882192123300775,0.8046561754034196
HRC,SPY,0.781074358299639,0.9242698952603923
GMED,SPY,0.7785386191095848,0.9504861209071107
HCA,SPY,0.7715564556591407,0.9166192949797946
DVA,SPY,0.7506887279113745,0.9313525905476512
HSIC,SPY,0.7467520787080819,0.9562178943580115
ZBH,SPY,0.7424204841527964,0.939424025222106
PFE,SPY,0.737176599841786,0.956012123134014
ICLR,SPY,0.7294449217518828,0.8675879537464986
ESRX,SPY,0.7259802323399874,0.9458933653486783
STE,SPY,0.7192399614795424,0.9804702119461857
XRAY,SPY,0.7153761203627178,0.9413109341707087
WMGI,SPY,0.7135180133529939,0.8991357069301362
INGN,SPY,0.711723072821989,0.9595090863600179
MMSI,SPY,0.6915640572070096,0.9484444509228573
EHC,SPY,0.6888158230590954,0.8846557908667793
PINC,SPY,0.6788459083588873,0.8752936786319109
NUVA,SPY,0.6661094596592118,0.8974816379108309
MD,SPY,0.6655666263543656,0.910835102223992
FMS,SPY,0.6543578464566496,0.9183141529132796
PODD,SPY,0.652469893166153,0.9249868529158184
NVS,SPY,0.6084357850531051,0.9622168811178091
UHS,SPY,0.6033860358615403,0.7709744912532915
SNN,SPY,0.6011961560401091,0.9462074039674055
SHPG,SPY,0.5670537805761916,0.8174050244234123
SNY,SPY,0.552331248554338,0.9252798535987705
AVXS,SPY,0.5508031538401187,0.7643525958215772
HUM,SPY,0.5085150114105256,0.9079208237611942
AMED,SPY,0.4756194432779467,0.8044232027039027
AET,SPY,0.42780793830866426,0.8996778719586577
BLUE,XBI,1.3241786258089718,0.9592908382188757
RARE,XBI,1.3041053608515767,0.9479246517248472
BPMC,XBI,1.25385261960696,0.9034751507804905
AGIO,XBI,1.2311604111843186,0.9568551372444134
FOLD,XBI,1.217718876310944,0.9263182270639
IONS,XBI,1.2131104599834985,0.9440895512709612
LOXO,XBI,1.162388598654966,0.9272959251446042
FGEN,XBI,1.1368636002884376,0.9197339055894834
ALNY,XBI,1.1256118760583596,0.9151317658755231
SAGE,XBI,1.1228556068856375,0.9263615948938425
NBIX,XBI,1.0643845137438392,0.9480552352642712
ONCE,XBI,1.0499570499264788,0.9121096553554012
GBT,XBI,1.0351488770902042,0.8751410290784905
PBYI,XBI,0.9708338569331897,0.896177091286874
SRPT,XBI,0.9679160869555216,0.9162484759326617
CLVS,XBI,0.9401877804733969,0.8366457928813801
HRTX,XBI,0.9234767270158873,0.8997103557902626
NVCR,XBI,0.8722999997305732,0.839910639821935
SUPN,XBI,0.8510051380085542,0.8884256561572554
NKTR,XBI,0.8249855327000405,0.8634246222353358
BMRN,XBI,0.7756805726508078,0.941298721937049
TSRO,XBI,0.6881434437082631,0.8407810374096096
LGND,XBI,0.6859142085690326,0.9578828592858434
GWPH,XBI,0.5243819614653593,0.8296478338626746
EVHC,XBI,0.39823762938519114,0.7037775048055176
HQY,XBI,0.36293244782769674,0.6632075349388996
ACAD,XLV,1.8350094459725865,0.9432477604834731
ARRY,XLV,1.3337264580267911,0.9502346647388373
ABBV,XLV,1.3050191848664598,0.9336549103893744
AMGN,XLV,1.268820322873331,0.9756299635676379
AERI,XLV,1.248334824911675,0.9350802262853096
CTLT,XLV,1.2453287105460396,0.937899391625585
ALKS,XLV,1.1744205656273259,0.9254480974748107
EBS,XLV,1.0963753685758773,0.9520630027501726
MDSO,XLV,1.0804522181064,0.970864665615511
QDEL,XLV,1.075435353057649,0.8730476046153718
ABC,XLV,1.061391869543603,0.9376958520985614
IRWD,XLV,1.0439151202917898,0.9152153995641948
GLPG,XLV,1.0294977120293798,0.9517133753394325
QGEN,XLV,1.019307831811856,0.9700599593690273
PRGO,XLV,1.0081797192749227,0.9706576672399532
UNH,XLV,1.002113549140374,0.9486118370549373
LLY,XLV,0.9829502451026072,0.9770435608822545
TMO,XLV,0.9717037180171935,0.9635403626437765
MOH,XLV,0.936264578508142,0.9445414038447246
BMY,XLV,0.9258553518651622,0.9531387944238584
MCK,XLV,0.9156131590527402,0.9215741305053287
CNC,XLV,0.8431930173675668,0.9017558692761433
CRL,XLV,0.8430377295026782,0.9637902617068956
NEOG,XLV,0.8194386419225685,0.9261494196178459
MRK,XLV,0.8026492415554529,0.9685147059985095
HOLX,XLV,0.7989104316249446,0.9485902864092962
WCG,XLV,0.7730618391655295,0.9139051224364215
MGLN,XLV,0.770620890896314,0.927230978425932
NVO,XLV,0.696711558320862,0.9409160455712039
AZN,XLV,0.6920300633776293,0.8751126045055333
CBPO,XLV,0.6380432340065413,0.8874184425356958
TARO,XLV,0.6321116282430485,0.8349515212107045
RDY,XLV,0.6004827894559028,0.9092547215210378
ASND,XLV,0.5259244121922806,0.6275901894479103
GSK,XLV,0.48468723007035813,0.8419899911496874
LIVN,XLV,0.4712291946992193,0.8003805599609071
USNA,XLV,0.31278312452450163,0.7207292733718459
